Marca,Codigo_Barras,Acción_Terapéutica,Principio_Activo,Nombre,id
SOLQUIFAR,7010827,ANTISEPTICO Y DESINFECTANTE,PERÓXIDO DE HIDRÓGENO,AGUA OXIGENADA 10 VOL SQF FCO X 1000 ML,7010827
SOLQUIFAR,7011123,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL MEDICINAL,ALCOHOL MEDICINAL 70% X 125 ML,7011123
SOLQUIFAR,7011823,DESINFECCIÓN DE HERIDAS Y CORTES,ALCOHOL YODADO,ALCOHOL YODADO FCO X 100 ML,7011823
IFARBO,7029,HIDRATANTE,ACEITE DE ALMENDRAS,ACEITE DE ALMENDRAS X 30 ML,7029
MEGAVIT MASSON,70294,FUENTE DE VITAMINAS Y ANTIOXIDANTE,"VITAMINAS A, E, B1 Y FLÚOR",BALLENA AZUL NARANJA FCO X 450 ML,70294
UNILEVER,70330709485,EL AFEITADO DE LA PIEL,AFEITADORA BIC COMFORT,AFEITADORA BIC COMFORT 2 SENSITIVE 2 X 1,70330709485
UNILEVER,70330717527,AFEITADO DE LA PIEL,AFEITADORA BIC TRIPLE HOJA,AFEITADORA BIC TRIPLE HOJA 2 X 1,70330717527
UNILEVER,703307175510,AFEITADO DE LA PIEL,AFEITADORA BIC CONFORT 3 ADVANCE,AFEITADORA BIC CONFORT 3 ADVANCE 2 X 1,703307175510
UNILEVER,70330724815,AFEITADO DE LA PIEL,AFEITADORA CONFORT 3 ADVANCED BLAX,AFEITADORA CONFORT 3 ADVANCED BLAX 2 X 1,70330724815
UNILEVER,70330731745,AFEITADO DE LA PIEL,AFEITADORA BIC TRIPLE HOJA SOLEIL,AFEITADORA BIC TRIPLE HOJA SOLEIL 2 X 1,70330731745
INQUIBOL,70963,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL MEDICINAL,ALCOHOL MEDICINAL 70 % X 60 ML,70963
RECALCINE,7350012553791,AYUDA A MICROBIOTA INTESTINAL,PREBIOTICOS Y PROBIOTICOS,BIOGAIA PROTECTIS+ VIT D GOTAS X 5 ML,7350012553791
SOPHIA,736085410099,Dilata la pupila (si es un midriático) o alivia la congestión ocular (si es un descongestionante,Clorhidrato de fenilefrina,3- A OFTENO SOL. OFTALMICA X 5 ML.,736085410099
SOPHIA,736085410396,MIOTICOS ANTIGLAUCOMA,TARTRATO DE BRIMONIDINA,AGGLAD OFTENO 0.2% SOL. OFTALMICA X 5 ML,736085410396
MEGAVIT,740107100028,FUENTE DE VITAMINAS Y ANTIOXIDANTE,"VITAMINAS A, E, B1 Y FLÚOR",BALLENA AZUL MELOCOTON FCO X 450 ML,740107100028
MEGAVIT MASSON,7401071400028,FUENTE DE VITAMINA Y ANTIOXIDANTE,"VITAMINAS A, E, B1 Y FLÚOR",BALLENA AZUL MELOCOTON FCO X 450 ML,7401071400028
MEGAVIT MASSON,7401071400042,FUENTE DE VITAMINAS Y ANTIOXIDANTES,"VITAMINAS A, E, B1 Y FLÚOR",BALLENA AZUL CEREZA FCO X 450 ML,7401071400042
MEGAVIT MASSON,7401071400080,FUENTE DE VITAMINAS Y ANTIOXIDANTES,"VITAMINAS A, E, B1 Y FLÚOR",BALLENA AZUL CEREZA FCO X 200 ML,7401071400080
MEGAVIT MASSON,7401071400097,FUENTE DE VITAMINAS Y ANTIOXIDANTE,"VITAMINAS A, E, B1 Y FLÚOR",BALLENA AZUL NARANJA FCO X 200 ML,7401071400097
MEGAVIT MASSON,7401071400103,FUENTE DE VITAMINAS Y ANTIOXIDANTE,"VITAMINAS A, E, B1 Y FLÚOR",BALLENA AZUL MELOCOTON FCO X 200 ML,7401071400103
MEGAVIT MASSON,7401071400608,FUENTE DE VITAMINAS Y ANTIOXIDANTE,"VITAMINAS A, E, B1 Y FLÚOR",BALLENA AZUL FRUTAS TROPICALES FCO X 200 ML,7401071400608
MEGAVIT MASSON,7401071400622,FUENTE DE VITAMINAS Y ANTIOXIDANTE,"VITAMINAS A, E, B1 Y FLÚOR",BALLENA AZUL FRUTAS TROPICALES FCO X 450 ML,7401071400622
MEGAVIT MASSON,7401071400677,FUENTE DE VITAMINAS Y ANTIOXIDANTE,"VITAMINAS A, E, B1, D OMEGA 3 Y FLÚOR",BALLENA AZUL PERLAS AZULES FCO X 100 CAPSULAS,7401071400677
PROMEDICAL,7401156602224,ANTIBIOTICO,CLINDAMICINA 100MG/ KETOCONAZOL 400 MG,COLPOSAN CREMA X 50 GRS,7401156602224
PROMEDICAL,7401156603511,ANALGESICO,DEXKETOPROFENO (TROMETAMOL) 25 MG.,TAZAROL RAPID 25 MG CAJA X 10 CAPSULAS BLANDAS,7401156603511
IFARBO,741258963,ANTISÉPTICO Y DESINFECTANTE DE USO TÓPICO,"HIDROGENO, PERÓXIDO",AGUA OXIGENADA 10 VOL FCO X 500 ML,741258963
GENIAL,7453038493000,ALIVIA Y ESTIMULA,ALIMENTADOR DE FRUTAS,ALIMENTADOR DE FRUTAS PARA BEBE GENIAL 6M+,7453038493000
MEGALABS,7460536555550,PROTECTOR HEPATICO,FOSFOLIPIDOS ESENCIALES 300 MG,COMPENSIAL 300 MG CAJA X 50 CAPSULAS,7460536555550
MEGALABS,7460536558285,ANTIHIPERTENSIVO CALCIOANTAGONISTA,AMLODIPINO 5 MG,AMPLIRON 5 MG CAJA X 20 COMPRIMIDOS,7460536558285
MEGALABS,7460536558292,ANTIHIPERTENSIVO CALCIOANTAGONISTA,AMLODIPINO 10 MG,AMPLIRON 10 MG CAJA X 30 COMPRIMIDOS,7460536558292
MEGALABS,7460536558452,VASODILATADOR CORONARIO,ISOSORBIDA MONONITRATO 20 MG,MEDOCOR 20 MG CAJA X 20 COMPRIMIDOS,7460536558452
MEGALABS,7460536558742,ANTIVERTIGINOSO,BETAHISTINA DICLORHIDRATO 16 MG,BOLARIA 16 MG CAJA X 20 COMPRIMIDOS,7460536558742
MEGALABS,7460536558759,ANTIVERTIGINOSO,BETAHISTINA 24 MG,BOLARIA 24 CAJA X 20 COMPRIMIDOS,7460536558759
MEGALABS,7460536559749,ANTIHIPERTENSIVO DIURETICO,"OLMESARTAN MEDOXONIL 20 MG HIDROCLOROTIAZIDA 12,5 MG","EUKENE H 20/12,5 CAJA X 30 COMPRIMIDOS",7460536559749
MEGALABS,7460536559756,ANTIHIPERTENSIVO DIURETICO,"OLMESARTAN MEDOXONIL 40 MG HIDROCLOROTIAZIDA 12,5 MG","EUKENE H 40/12,5 CAJA X 30 COMPRIMIDOS",7460536559756
MEGALABS,7460536560097,ANTIBIOTICO FLUOROQUINOLONA,LEVOFLOXACINA 750,ASTEFOR 750 MG CAJA X 5 COMPRIMIDOS RECUBIERTOS,7460536560097
MEGALABS,7460536560103,ANTIBIOTICO FLUOROQUINOLONA,LEVOFLOXACINA 500,ASTEFOR 500 MG CAJA X 7 COMPRIMIDOS RECUBIERTOS,7460536560103
MEGALABS,7460536560721,VEJIGA HIPERACTIVA,SOLIFENACINA SUCCINATO,SOLNEF 5 MG CAJA X 30 COMPRIMIDOS RECUBIERTOS,7460536560721
MEGALABS,7460536561636,ANTIHIPERTENSIVOCALCIOANTAGONISTA,OLMESARTAN AMLODIPINO,EUKENE A 40/10 MG X 30 COMPRIMIDOS,7460536561636
MEGALABS,7460536561643,ANTIHIPERTENSIVO CALCIOANTAGONISTA,OLMESARTAN 40 MG AMLODIPINA 5 MG,EUKENE A 40/ 5 MG CAJA X 30 COMPRIMIDOS,7460536561643
MEGALABS,7460536561650,ANTIHIPERTENSIVO CALCIOANTAGONISTA,OLMESARTAN 20 MG AMLODIPINA 5 MG,EUKENE A 20/ 5 MG CAJA X 30 COMPRIMIDOS,7460536561650
MEGALABS,7460536563753,ANTITUSIVO EXPECTORANTE,CARBOXIMETILCISTEINA,TUSILEXIL JARABE FCO X 120 ML,7460536563753
MEGALABS,7460536563760,EXPECTORANTE ANTITUSIVO,ARBOXIMETILCISTEINA,TUSILEXIL D JARABE FCO X 120 ML,7460536563760
MEGALABS,7460536571840,ANTIINFLAMATORIO,DICLOFENACO CODEINA,NEOFLOGIATRIN PLUS 50/50 MG CAJA X 10 COMPRIMIDOS,7460536571840
BAGO,7501008401651,ANTIACIDO,BICARBONATO DE SODIO ACIDO ACETIL SALICILICO,ALKA SELTZER CAJA X 10 COMPRIMIDOS,7501008401651
SEDIM,7501035907508,HIGIENE,HIGIENE,DESODORANTE MEN SPEED STICK FRESH BARRA X 60 GR,7501035907508
TERBOL,7501058637710,FORMULA PARA BEBES,LECHE EL POLVO CON PREBIOTICOS Y PROBIOTICOS,NAN # 2 LATA X 1.1 KG,7501058637710
TERBOL,7501059279124,FORMULA PRA BEBE,LECHE EL POLVO CON PREBIOTICOS Y PROBIOTICOS,"NAN # 1 LATA X 1,1 KG",7501059279124
INTI CHINOIN,7501088500596,ANTIDIARREICO,NIFUROXAZIDA 400 MG,TOPRON CAJA X 16 CAPSULAS,7501088500596
INTI CHINOIN,7501088505003,"CORTICOSTEROIDE CON ACCION ANTIINFLAMATORIA, INMUNOSUPRESORA Y ANTIALERGICA",DEXAMETAZONA,ALIN 8 MG/2 ML CAJA X 1 AMPOLLA,7501088505003
INTI CHINOIN,7501088505157,CORTICOSTEROIDE DE ACCION PROLONGADA,DEXAMETAZONA,ALIN DEPOT CAJA X 1 AMPOLLA,7501088505157
INTI CHINOIN,7501088505355,ANTIBIÓTICO OFTÁLMICO,DEXAMETASONA; NEOMICINA,ALIN OFTALMICO GOTAS X 5 ML,7501088505355
INTI CHINOIN,7501088507915,ANTIBIOTICO,AZITROMICINA 200MG,KOPTIN 200 MG SUSPENCION X 22.5 ML,7501088507915
INTI P&G,7501298221991,ANTIINFLAMATORIO ANTINEURITICO,COMPLEJO B DICLOFENACO,DOLO NEUROBION CAJA X 3 AMPOLLAS,7501298221991
INTI MERCK,7501298222868,HIPOTIROIDISMO,LEVOTIROXINA 50 MCG,EUTIROX 50 MCG CAJA X 50 COMPRIMIDOS,7501298222868
INTI MERCK,7501298222875,HIPOTIROIDISMO,LEVOTIROXINA 75 MCG,EUTIROX 75 MCG CAJA X 50 COMPRIMIDOS,7501298222875
INTI MERCK,7501298222882,TRATAMIENTO PARA EL HIPOTIROIDISMO,LEVOTIROXINA SODIXA 100 MCG,EUTIROX 100 MCG CAJA X 50 COMPRIMIDOS,7501298222882
MEGALABS BAYER,7501303443301,ANTICONCEPTIVO,NORETISTERONA ENANTATO 50 MG ESTRADIOL VALERATO 5.00 MG,MESIGYNA CAJA X 1 AMPOLLA,7501303443301
SEDIM,7509546060613,HIGIENE,BARRA,DESODORANTE LADY SPEED STICK BARRA DERMA ACLARADO X 50 G,7509546060613
SEDIM,7509546680422,HIGIENE,ARBON DETOX,JABON PROTEX CARBON DETOX BARRA X 110 GR,7509546680422
SEDIM,7509546683652,HIGIENE,BANANA AGUACATE,JABON PALMOLIVE BANANA AGUACATE BARRA X 110 GR,7509546683652
SEDIM,7509546688206,PROTECCION Y ABSORCION,CARBON ABSORB,DESODORANTE AEROSOL SPEED STICK CARBON ABSORB X 150 ML,7509546688206
LAQFAGAL,7532,ANTIMICOTICO,MICONAZOL NEOMICINA TRIAMCINOLONA,TRI GAL CREMA TUBO X 20 GR,7532
MINERVA,75462194,ANALGESICO ANTIPIRETICO,PARACETAMOL ACETAMINOFEN,ACETAMIN 100 MG GOTAS X 15 ML,75462194
QUIMIZA,7591044008952,ANTIHISTAMÍNICO,FEXOFENADINA,ALLEGRA 120 MG CAJA X 10 TABLETAS,7591044008952
QUIMIZA,7591044009010,ANTIHISTAMÍNICO,FEXOFENADINA,ALLEGRA 180 MG CAJA X 10 TABLETAS,7591044009010
TERBOL,7613032048044,FORMULA NUTRICIONA,FORMULA,NAN PREMATUROS LATA X 400 GR,7613032048044
TERBOL,7613032490669,NUTRICION,CEREALES,CERELAC INFANTIL 5 CEREALES CON LECHE LATA X 400 GR,7613032490669
TERBOL,7613033734441,NUTRIENTES PARA BEBE,LECHE EL POLVO CON PREBIOTICOS Y PROBIOTICOS,NAN COMFORT LATA X 400 GR,7613033734441
TERBOL,7613034751829,NUTRIENTES PARA BEBES,LECHE EL POLVO CON PREBIOTICOS Y PROBIOTICOS,NAN COMFORT POLVO X 800 G,7613034751829
TERBOL,7613034966650,FORMULA PARA BEBE,LECE EN POLVO SIN LACTOSA,NAN SIN LACTOSA POLVO X 400 GR,7613034966650
TERBOL,7613035881037,NUTRIENTES PARA BEBE,LECHE EN POLVO CON PREBIOTICOS Y PROBIOTICOS,NAN AE POLVO X 800 G,7613035881037
TERBOL,7613287139245,NUTRIENTES PARA BEBES,LECHE EL POLVO CON PREBIOTICOS Y PROBIOTICOS,NAN # 3 LATA X 800 GR.,7613287139245
FOBOL,76400643,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL MEDICINAL,ALCOHOL MEDICINAL 70% X 1000 ML,76400643
QUIMIZA,7640107470042,ESTIMULANTE DE DEFENSAS,"galato de propilo, manitol, glutamato de sodio, silicato de magnesio, almidón de maíz pregelatinizado, estearato de magnesio",BRONCHO VAXON NIÑOS CAJA X 30 SACHETS,7640107470042
FOBOL,76986207,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL MEDICINAL,ALCOHOL MEDICINAL 70% X 65 ML,76986207
TERBOL,7700108045175,ANTIBIOTICO,PENICILINA 1.200000,TERBOCYL 1.200.000 CAJA X 1 VIAL,7700108045175
INTI ETICOS,770109040469,ANTIALERGICO,CETIRIZINA,ZETALERG SOLUCION FRASCO X 60 ML,770109040469
INTI ETICOS,770109040582,ANTIHISTAMINICO,CETIRIZINA 10 MG,ZETALERG COMPRIMIDO CAJA X 10,770109040582
SEDIM,7702026180812,HIGIENE,TOALLAS HIGIENICAS,NOSOTRAS INVISIBLE RAPIGEL ANTIBACTERIAL X 10 TOALLAS,7702026180812
SEDIM,7702027044014,PROTECTOR DE PEZON,ALGODON FIBRA,NOSOTRAS PROTECTOR DE LACTANCIA X 40 UNIDADES,7702027044014
SEDIM,7702027434235,NOSOTRAS DIARIOS NORMA,NOSOTRAS DIARIOS NORMAL,NOSOTRAS DIARIOS NORMAL X 10 UNIDADES,7702027434235
SEDIM,7702027444654,CUIDADO INTIMO,ALGODON,NOSOTRAS DIARIOS MULTIESTILO CAJA X 150 UNI.,7702027444654
HANSA,7702027478741,HIGIENE,PAÑAL ADULTO TENA,PAÑAL ADULTO TENA SLIP ULTRA MEDIUM LARGE X 1 UNIDAD,7702027478741
JOHNSON,7702031293354,JOHNSON SHAMPOO GOTAS DE BRILLO X 200 ML,JOHNSON SHAMPOO GOTAS DE BRILLO X 200 ML,JOHNSON SHAMPOO GOTAS DE BRILLO X 200 ML,7702031293354
SEDIM,7702425801288,CUIDADO INTIMO,ALGODON FIBRA,KOTEX ULTRAFINA DISCRETA X 10 UNID,7702425801288
PROMEDICAL,7703153000059,VITAMINAS DEL COMPLEJO B,NICOTINAMIDA PIRIDOXINA CLORHIDRATO TIAMINA MONOHIDRATO RIBOFLAVINA,B VIT CAJA X 50 CAPSULAS,7703153000059
PROMEDICAL,7703153001049,ANTIHISTAMÍNICOS,CETIRIZINA,ALERCET D CAJA X 10 CAPSULAS,7703153001049
PROMEDICAL,7703153001056,ANTIHISTAMÍNICOS,CETIRIZINA,ALERCET D JARABE FCO X 60 ML,7703153001056
PROMEDICAL,7703153001742,ANTIHISTAMÍNICOS Y ANTIALERGICO,CETIRIZINA,ALERCET 10 MG CAJA X 10 CAPSULAS,7703153001742
PROMEDICAL,7703153024000,CORTICOESTEROIDE,CORTICOESTEROIDE,BETADUO 2 CAJA X 1 AMPOLLA,7703153024000
PROMEDICAL,7703153028695,ANTIINFECCIOSO VAGINAL,ITRACONAZOL Y SECNIDAZOL,ALBISEC ONE CAJA X 6 TABLETAS,7703153028695
PROMEDICAL,7703153033354,TRATAMIENTO DE VAGINITIS CAUSADAS POR CÁNDIDA Y TRICHOMONAS,ITRACONAZOL Y SECNIDAZOL,ALBISEC CAJA X 12 CAPSULAS,7703153033354
PROMEDICAL,7703153044527,ANTINEOPLASICO,DIMETICONA PINAVERIO BROMURO,PRODUO CAJA X 32 COMPRIMIDOS,7703153044527
PROMEDICAL,7703153044534,VITAMINA,VITAMINA D K,DEROVIT + K CAJA X 30 CAPSULAS BLANDAS,7703153044534
QUIMIZA,7703202001563,REGENERADOR FLORA MICROBIANA,BACILLUS CLAUSII 4000 MILLONES,ENTEROGERMINA PLUS CAJA X 5 FRASCOS BEBIBLES,7703202001563
MEGALABS MEDIHEALTH,7703281000365,LIMPIEZA INTIMA,ACIDO LACTICO ALANTOINA DEXPANTENOL,LACTIBON FEM LOCION X 240 ML,7703281000365
MEGALABS MEDIHEALTH,7703281000778,ANTIACNE DE USO TOPICO,TRETOINA,BETARRETIN H CREMA X 30 GR,7703281000778
MEGALABS POEN,7703281002109,LIMPIEZA DE OJOS,PROPIETILENGLICOL,LIDCLEAN 1.5% X 50 ML ESPUMA LIMPIADORA,7703281002109
MEGALABS,7703281002246,ANTIBIOTICO BETALACTAMICO,MEROPENEM 1000 MG,ACUS 1000 MG CAJA X 1 FRASCO AMPOLLA,7703281002246
MEGALABS,7703281002253,CAJA CON 1 FRASCO AMPOLLA,MEROPENEM,ACUS 500 MG CAJA X 1 FRASCO AMPOLLA,7703281002253
MEGALABS,7703281002307,LIMPIEZA NASAL,CLORURO DE SODIO 0.09 %,"NASOXY 0,9% SOLUCION NASAL X 100 ML",7703281002307
MEGALABS MEDIHEALTH,7703281002581,ANTIINFLAMATORIO,CLOBETASOL 0.05 %,CLOBEPLUS 0.05% CREMA TUBO X 30 GR.,7703281002581
MEGALABS MEDIHEALTH,7703281003762,CORTICOIDE,DESONIDA 0.1 %,DERMOSUPRIL 0.1% CREMA TUBO X 15 G,7703281003762
MEGALABS MEDIHEALTH,7703281008415,ANTIPRURIGINOSO,MOMETASONA FUROATO 0.1 %,DERMACORTINE 0.1% CREMA X 15 GR,7703281008415
MEGALABS MEDIHEALTH,7703281020172,MULTIVITAMINICO,HIERRO AMINOACIDOS VITAMINAS,EDAPIL ORAL CAJA X 30 COMPRIMIDOS RECUBIERTOS,7703281020172
MEGALABS,7703281021216,HIPOLIPEMIANTE,FENOFIBRATO 200 MG,FOSLIP FENOFIBRATO 200 MG CAJA X 30 CAPSULAS,7703281021216
MEGALABS MEDIHEALTH,7703333007021,ACTIACNE DE USO TOPICO,TRETOINA,BETARRETIN GEL 0.025 %,7703333007021
MEGALABS MEDIHEALTH,7703333007045,ACTIACNE PARA USO TOPICO,TRETOINA,BETARRETIN 0.05 CREMA TUBO X 30 GR,7703333007045
MEGALABS MEDIHEALTH,7703333007113,ANTIPRURIGINOSO,OXIDO DE ZINC ACIDO HIALURONICO,PROCICAR CREMA TUBO X 60 G,7703333007113
MEGALABS MEDIHEALTH,7703333007465,PROTECTOR DE LA PIEL,UREA 0.5 %,HIDRIBET LOCION 5/5 HIDRATANTE X 125 ML,7703333007465
LA SANTE,7703763002634,ANTIHISTAMINICO,LORATADINA 10 MG,LORATADINA 10 MG CAJA X 10 TABLETAS,7703763002634
LA SANTE,7703763002832,RESPORATORIO Y LOCOMOTOR,SECNIDAZOL 1 GR X 2 TABLETAS,SECNIDAZOL 1 GR X 2 TABLETAS,7703763002832
LA SANTE,7703763960460,TRATAMIENTO Y PREVENCIÓN DE LA OSTEOPOROSIS,ALENDRONATO SODIO TRIHIDRATO,ALENDRONATO SODICO 70 MG CAJA X 4 TABLETAS,7703763960460
PROMEDICAL SUIPHAR,7704163002996,ANTIGRIPAL,FENILEFRINA; LORATADINA; PARACETAMOL (ACETAMINOFÉN),ALGHO NOCHE MIEL & LIMON CAJA X 50 SOBRES,7704163002996
PROMEDICAL SUIPHAR,7704163003313,ANTIGRIPAL,CETIRIZINA; FENILEFRINA; PARACETAMOL (ACETAMINOFÉN),ALGHO DIA NARANJA CAJA X 50 SOBRES,7704163003313
LA REINA OBRERA,7718593310132,ALIVIA PROBLEMAS RESPIRATORIOS,ACEITE DE EUCALIPTO 30 ML,ACEITE DE EUCALIPTO 30 ML,7718593310132
IMFAR,7730188379263,HIDRATA LOS LABIOS,BALSAMO LABIAL HIDRATANTE,DR. SELBY BALSAMO LABIAL HIDRATANTE X 5.7 ML,7730188379263
EUROFARMA,7730381000391,ANTICONVULSIVANTE,CARBAMAZEPINA 400 MG,AURATION CR 400 MG CAJA X 20 COMPRIMIDOS,7730381000391
EUROFARMA,7730381002296,REDUCCION DE VERTIGENES,BETAHISTINA DICLORHIDRATO,BETISTIN 16 MG CAJA X 20 COMPRIMIDOS,7730381002296
EUROFARMA,7730381003187,REDUCCION DE VERTIGENES,BETAHISTINA DICLORHIDRATO,BETISTIN 24 MG CAJA X 20 COMPRIMIDOS,7730381003187
MEGALABS,7730512800265,CICATRIZANTE,PROPOLEO,PROPOLEO D CREMA TUBO X 20 G,7730512800265
MEGALABS,7730599571249,ANTIMICOTICO,METRONIDAZOL CLOTRIMAZOL,SADETABS FORTE CAJA X 12 OVULOS,7730599571249
MEGALABS,7730698003177,ANTIPSICOTICO,RISPERIDONA,GOVAL 0.1% GOTAS X 20 ML,7730698003177
MEGALABS,7730698003382,ANTIANEMICO,HIERRO GLICINATO QUELATO 30 MG,CHELTIN 30 MG GOTAS FCO X 30 ML,7730698003382
MEGALABS,7730698004396,ANTIBIOTICO ANTIINFLAMATORIO OTICO,CIPROFLOXACINA HIDROCORTISONA,CIRIAX OTIC GOTAS X 5 ML,7730698004396
MEGALABS,7730698005485,ANTIANEMICO,HIERRO GLICINATO QUELATO 150 MG,CHELTIN SUSPENCION FCO X 120 ML,7730698005485
MEGALABS,7730698007168,BETABLOQUEANTE,BISOPROLOL FUMARATO 5 MG,CORENTEL 5 MG CAJA X 30 COMPRIMIDOS RECUBIERTOS,7730698007168
MEGALABS,7730698007175,BETABLOQUEANTE,BISOPROLOL FUMARATO 10 MG,CORENTEL 10 MG CAJA X 30 COMPRIMIDOS,7730698007175
MEGALABS,7730698007281,BRONCODILATADOR,BROMURO DE IPATROPIO 0.02 SALBUTAMOL 0.10,IPATRIMUL COMPUESTO AEROSOL X 200 DOSIS,7730698007281
MEGALABS,7730698010717,ANTIRREUMATICO,DEFLAZACORT,SERVICOR DEFLAZACORT 30 MG CAJA X 10 COMPRIMIDOS,7730698010717
MEGALABS,7730698011363,PROCINETICO DIGESTIVO ANTIFLATULENTO,CINITAPRIDA 1 MG SIMETICONA 200 MG PANCREATINA 100 MG,ENDIAL DIGEST CAJA X 20 COMPRIMIDOS,7730698011363
MEGALABS,7730698013251,ANTIPSICOTICO,ARIPIPRAZOL 15 MG,ILIMIT 15 MG CAJA X 30 COMPRIMIDOS,7730698013251
MEGALABS,7730698014166,ANALGESICO ANTIINFLAMATORIO,PIROXICAM 0.5 %,FLOGIATRIN GEL TUBO X 70 GR,7730698014166
MEGALABS,7730698015866,TRATAMIENTO DEL DOLOR NEUROPATICO Y FIBROMIALGIA,PREGABALINA 75 MG,MARTESIA 75 MG DIVIDOSIS CAJA X 30 COMPRIMIDOS,7730698015866
MEGALABS,7730698015897,ANTIASMATICO,FLUTICASONA 50 UG SALMETEROL 25 UG,AERONID 50 AEROSOL X 120 DOSIS,7730698015897
MEGALABS,7730698015903,ANTIASMATICO,FLUTICASONA 125 UG SALMETEROL 25 UG,AERONID 125 AEROSOL X 120 DOSIS,7730698015903
MEGALABS,7730698015910,ANTIASMATICO,FLUTICASONA 250 UG SALMETEROL 25 UG,AERONID 250 AEROSOL X 120 DOSIS,7730698015910
MEGALABS,7730698015927,BRONCODILATADOR,"FLUTICASONA, SALMETEROL",AIRPLEN AEROSOL X 250 DOSIS,7730698015927
MEGALABS,7730698019901,ANTIHISTAMINICO,DESLORATADINA 5 MG,MAILEN 5 MG CAJA X 10 COMPRIMIDOS,7730698019901
MEGALABS,7730698020037,ANTIRREUMATICO ANTIMALARICO,HIDROXICLOROQUINONA 200 MG,DROXIQUINA 200 MG CAJA X 30 COMPRIMIDOS RECUBIERTOS,7730698020037
MEGALABS,7730698285016,ANTIVARICOSO ANTIHEMORROIDAL,NAFTASONA 10 MG,METORENE CAJA X 20 COMPRIMIDOS,7730698285016
MEGALABS,7730698348087,ANTIMICOTICO,NITRATO DE ECONAZOL 1 %,MICOLIS 1% CREMA TBO X 30 G,7730698348087
MEGALABS,7730698364148,ANTIESPASMODICO,PROPINOX CLONIXINATO DE LISINA,SERTAL GOTAS FCO X 20 ML,7730698364148
MEGALABS,7730698379074,ANTIHISTAMINICO ANTIALERGICO,LORATADINA 10 MG,ALERFAST 10 MG CAJA X 10 COMPRIMIDOS,7730698379074
MEGALABS,7730699000885,ANTIHISTAMINICO,DESLORATADINA 2.5 MG,MAILEN JARABE 2.5% MG FRASCO X 50 ML,7730699000885
GADOR,7730900992305,ANTICONCEPTIVO ORAL,DROSPIRENONA Y ETINILESTRADIOL,DAMSEL CAJA X 28 COMPRIMIDOS,7730900992305
MEGALABS,7730969300073,ANTICOAGULANTE,APIXABAN 5 MG,MANTIXA 5 MG CAJA X 30 COMPRIMIDOS,7730969300073
MEGALABS,7730969300103,ANTICOAGULANTE,APIXABAN 2.5 MG,MANTIXA 2.5 MG CAJA X 30 COMPRIMIDOS,7730969300103
MEGALABS,7730969300493,ANTICONCEPTIVO ORAL,DROSPERIDONA 3 MG ETINILESTRADIOL 0.02 MG,AST CAJA 28 COMPRIMIDOS,7730969300493
MEGALABS,7730969300929,ANTIPSICOTICO,RISPERIDONA 3 MG,GOVAL 3 MG CAJA X 20 COMPRIMIDOS,7730969300929
MEGALABS,7730969301049,ANTIULCEROSO,DEXLANZOPRAZOL 60 MG,DEXLANZOPRAL DR 60 MG CAJA X 30 CAPSULAS,7730969301049
MEGALABS,7730969301407,ANTIHIPERTENSIVO,LOSARTAN 50 MG HIDROCLOROTIAZIDA 12.5 MG,CONVERTAL D 50/12.5 MG CAJA X 10 COMPRIMIDOS RECUBIERTOS,7730969301407
MEGALABS,7730969301551,ANALGESICO,CLONIXINATO DE LISINA 125 MG,DOLALGIAL 125 MG CAJA X 20 COMPRIMIDOS RECUBIERTOS,7730969301551
MEGALABS,7730969302046,ANTIASMATICO CORTICOIDE,FLUTICASONA PROPIONATO 125 MG,EDELCUR 125 MCG AEROSOL X 60 DOSIS,7730969302046
MEGALABS,7730969302060,ANTIASMATICO CORTICOIDE,FLUTICASONA PROPIONATO 50 MG,EDELCUR 50 MCG AEROSOL X 120 DOSIS,7730969302060
MEGALABS,7730969302220,ANTIULCEROSO,LANZOPRAZOL 30 MG,LANZOPRAL 30 MG CAJA X 30 CAPSULAS,7730969302220
MEGALABS,7730969302923,TRATAMIENTO DEL DOLOR NEUROPATICO Y FIBROMIALGIA,PREGABALINA 25 MG,MARTESIA 25 MG CAJA X 30 CAPSULAS,7730969302923
MEGALABS,7730969302930,TRATAMIENTO DEL DOLOR NEUROPATICO Y FIBROMIALGIA,PREGABALINA 75 MG,MARTESIA 75 MG CAJA X 30 CAPSULAS,7730969302930
MEGALABS,7730969302954,ANTIMIGRAÑOSO,CLONIXINATO DE LISINA 125 MG ERGOTAMINA TARTRATO 1 MG,MIGRA DOLALGIAL CAJA X 10 COMPRIMIDOS,7730969302954
MEGALABS,7730969302961,TRATAMIENTO DE DOLOR NEUROPATICO Y FIBROMIALGIA,PREGABALINA 150 MG,MARTESIA 150 MG CAJA X 30 CAPSULAS,7730969302961
MEGALABS,7730969303050,ANTIANEMICO,HIERRO 30 MG ACIDO FOLICO 0.6 MG,CHELTIN FOLIC CAJA X 30 COMPRIMIDOS RECUBIERTOS,7730969303050
MEGALABS,7730969303241,ANTIHIPERTENSIVO,LOSARTAN 50 MG,CONVERTAL 50 MG CAJA X 30 COMPRIMIDOS RECUBIERTOS,7730969303241
